frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,-0.02538,0.201583,0.239434,-0.02417,0.046979,-0.598885,0.799091,5.380186725434661,13.640264870560168,1.0066951626002787,-0.4822483503764495,9.788495334628225,0.3509668528446927,-0.943091630935669,-0.005590446293354,-1.6363003253936768,-0.6090529858984338,-0.6051200060545706,0.3404929499293228,0.3833389543276614,-0.0332002751529216,0.0035603661090135,0.0730719715356826,-0.0107124000787734,-0.0090700387954711,-0.0013245344161987,-0.1093192622065544,0.0069614513777196,0.0269245920593268,0.0590958707034587,0.04912477224553,0.0084767958097392
1,-0.022993,0.189792,0.241016,-0.015572,0.05172,-0.60423,0.794977,5.990358020162582,3.841879425558448,0.6406289037685841,-1.2481921348899605,9.714538702535627,0.4900329763706773,0.224569022655487,-0.2231451719999313,-2.125344038009644,-0.5967817322125785,-0.612851543029086,0.315322466078458,0.4108968617951321,-0.0212818309664726,0.0184310842305421,0.0349358357489109,-0.0048458129167556,-0.0015074610710144,0.007108449935913,-0.0911306291818618,0.0185355991125106,-0.0556657731205224,0.060717899352312,0.0208219848848879,0.0213736274182796
2,-0.003818,0.119496,0.232202,-0.031315,0.041232,-0.644274,0.76304,3.208850110073388,-7.958368403935432,-0.3569289395868778,-2.0199793482020496,9.592859949803351,0.2590660197932273,0.93057781457901,-0.3904755115509033,-1.8470613956451416,-0.5698185303452636,-0.6301817977445291,0.2994364893719108,0.4341838223400753,-0.0493491515517234,0.0428013503551483,0.06219083070755,-0.0064191222190856,-0.0078811049461364,0.0349678397178649,-0.0634655505418777,0.0277712345123291,-0.0376905559688806,0.0516969636082649,0.0438034858912229,0.0773837935296818
3,0.005323,0.077582,0.224627,-0.050096,0.029116,-0.665693,0.743973,0.5786673184394836,-15.55301104775071,-0.9175497292041778,-2.590095695917308,9.458421084219216,-0.0084079535158525,0.3408266603946686,0.1033577844500541,-1.1278669834136963,-0.5459579197006972,-0.6456836480532019,0.2890005414491609,0.4488889733839931,0.0337225645780563,0.0569083280861377,0.0489838793873786,-0.0036049634218215,0.0140081644058227,-0.018868863582611,-0.0426938086748123,0.0471550151705741,-0.1005108770191669,0.0537393391132354,0.0159858699653297,0.0952681175274774
4,0.014161,0.043472,0.219972,-0.062711,0.02264,-0.688351,0.722307,1.199205985663831,-0.3051823857367038,1.8545336421966552,-1.5095542297311126,9.688357967096566,-0.1654239325650036,1.1698287725448608,0.3939418792724609,1.749574899673462,-0.5682471252052954,-0.6353268395770887,0.3237191381543877,0.4106836071290733,-0.0040437215939164,0.0410350374877452,0.0136009883135557,-0.0013779550790786,0.0064550042152404,0.0172539949417114,0.1042122021317482,0.0475729256868362,-0.1765596225528046,0.0298634935170412,0.0010773783031472,0.2732488041256554
5,0.021197,0.019247,0.217895,-0.06449,0.024809,-0.708223,0.702599,-1.3537880600884555,8.978004296651482,-4.117567421263456,-0.8077268339604139,9.756173027694224,-0.5788086631389334,0.5179304480552673,0.3353971242904663,1.931594729423523,-0.5714647584572196,-0.6373899211460755,0.3510628397570584,0.3793637787151805,0.1354300081729889,0.0380137860774993,0.0024647805839776,0.0110700726509094,0.0064770579338073,-0.0211185216903686,0.1454872041940689,0.0466655194759368,-0.0735927352502243,-0.0245859343558549,0.0404933795291231,0.1180981908317655
6,0.027409,-0.003092,0.219718,-0.058055,0.025158,-0.724392,0.686479,2.154052741474658,8.398156243994832,-2.56878548912406,-0.0972837864651344,9.788198397508262,-0.5933568649839609,-0.2538678646087646,0.0547674149274826,1.5013258457183838,-0.5865555177993832,-0.6269000664982403,0.3704714405432098,0.3545416122764275,-0.0442105829715728,-0.0062101325020194,-0.0072810570709407,0.017764464020729,-0.0304062962532043,0.007608413696289,0.1334058195352554,0.0463051684200763,0.0045294601231813,-0.0173452924937009,0.1040277260337024,0.0818697433046996
7,0.026489,-0.006298,0.216899,-0.062124,0.021135,-0.727109,0.683379,2.7098002259671685,6.696402595236897,0.0483084326276555,0.3074924527773633,9.79081705557406,-0.4644508644118905,-0.2784921526908874,-0.138087660074234,0.5902699828147888,-0.5971282438004781,-0.6144124683614259,0.3823319527467055,0.3460597988011433,-0.0030652766581624,-0.0133158722892403,0.0250448584556579,0.0064914375543594,0.0028998255729675,0.0120438933372497,0.1213244348764419,0.0459448173642158,0.0827209533065557,-0.0101046506315469,0.1675667898125946,0.0455019238395616
8,0.026902,-0.007679,0.215963,-0.066647,0.018536,-0.728255,0.681806,0.5511696917155757,4.023710156914592,0.8019441589057446,0.4422744692433625,9.785445883929729,-0.4688505972081795,0.2771686911582947,-0.0323708653450012,0.263897031545639,-0.5988386007108191,-0.6113117966154246,0.3875598215348771,0.3427646250520941,-0.0523345544934272,0.0095472587272524,0.0497730411589145,-0.0004363059997558,-0.0085744261741638,-0.0039756894111633,0.0893039256334304,0.0668805688619613,-0.172169753563404,-0.001235969364643,-0.0438132766328752,-0.1152436781834811
9,0.025663,-0.007147,0.213565,-0.068265,0.017908,-0.728074,0.681856,0.5668578939085825,1.3917787680476903,-0.0570025016169995,0.5355224060548469,9.77387878025472,-0.5957165798526257,0.3082655966281891,0.0853507965803146,0.1425408869981765,-0.5967344243176949,-0.6136149906791667,0.3922368362895163,0.3369493599759657,0.020393444225192,0.0427761040627956,0.0541298389434814,-0.015935480594635,0.0094987750053405,0.0304556488990783,-0.0093976929783821,0.1062280684709549,0.0560375290423631,0.0707278475165367,0.1018614148452878,-0.0762742248525843
