timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
5892315660,0.023222,0.228584,0.668705,0.14603,0.100779,-0.686631,0.705023,0
5892348983,0.019629,0.228221,0.673076,0.146602,0.110173,-0.681983,0.708003,1
5892382307,0.017116,0.211168,0.672197,0.141112,0.107426,-0.680618,0.710849,2
5892448954,0.017968,0.142015,0.657729,0.112509,0.054047,-0.692293,0.71074,4
5892482278,0.021016,0.105945,0.649644,0.08616,0.021019,-0.700532,0.708089,5
5892515601,0.022338,0.078883,0.643704,0.056529,-0.008678,-0.703948,0.707946,6
5892548925,0.021674,0.061984,0.64026,0.034298,-0.025411,-0.702387,0.710514,7
5892582248,0.01889,0.053773,0.64006,0.025167,-0.034679,-0.699174,0.713666,8
5892648896,0.013614,0.051187,0.646478,0.026443,-0.024054,-0.697752,0.715447,10
5892682219,0.011711,0.053142,0.649593,0.029296,-0.01647,-0.697661,0.715639,11
5892715543,0.010042,0.054262,0.651255,0.029301,-0.012362,-0.696596,0.716758,12
5892748866,0.008346,0.053934,0.651474,0.026684,-0.011542,-0.695629,0.717813,13
5892782190,0.006712,0.051778,0.650246,0.021729,-0.014052,-0.695372,0.718184,14
5892848837,0.004537,0.043056,0.643001,4.8e-05,-0.026173,-0.694766,0.71876,16
5892882161,0.003329,0.041101,0.638486,-0.012059,-0.034529,-0.693498,0.71953,17
5892915484,0.003426,0.047767,0.634019,-0.014518,-0.041689,-0.692436,0.720128,18
5892948808,0.006537,0.068637,0.633458,0.000755,-0.039208,-0.696353,0.716627,19
5892982132,0.011011,0.106203,0.638645,0.025668,-0.01048,-0.706399,0.70727,20
5893048779,0.01288,0.203435,0.667714,0.099316,0.064599,-0.709073,0.695111,22
5893082102,0.010475,0.242231,0.683684,0.124952,0.094765,-0.700544,0.696165,23
5893115426,0.008757,0.262744,0.694477,0.138454,0.117144,-0.693154,0.697599,24
5893148749,0.007025,0.262975,0.697297,0.138636,0.121678,-0.689355,0.700546,25
5893182073,0.006036,0.243714,0.693543,0.132286,0.109475,-0.691222,0.701946,26
