time_imu,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z,frame_imu
1733407633838563800,1.8552802227802567,11.30372980195284,-4.326855483865738,0.0112991494792921,9.77123089609444,-0.8326493860319256,-1.8483083248138428,0.2778957486152649,-0.2675191164016723,0.3179886975926158,0.3454863938811103,-0.6504555740993884,-0.5970175040216369,0.9623702764511108,1.031559944152832,-0.424877792596817,-0.8441166877746582,0.8076961636543274,-0.2910615801811218,0.2411891669034958,-0.0557355657219886,0.6547837589144706,-0.1757803708314895,0.079698244484514,-0.2571455000594258,0
1733407633878563800,1.755227026400715,3.603977847412229,-5.194467754468321,-0.2437376273559406,9.79786463599801,0.3358843614598736,-2.791614294052124,-0.5863285660743713,-0.7157152891159058,0.3287150780658808,0.3329145703074802,-0.6099529094944566,-0.6395871422786599,2.6181328296661377,1.3173142671585083,-1.6816257238388062,-0.6514567732810974,0.741199791431427,-0.0702120810747146,0.1832485198974609,-0.1118616834282875,0.5467249507337808,-0.1619626134634018,0.0265528201544657,0.2728250074893236,1
1733407633918563800,0.1660316891998052,-4.128431929627061,-2.435802667567134,-0.4985264082213863,9.680435941925644,1.4869504759959875,-3.036921739578247,-0.9026809334754944,-0.6652208566665649,0.3277372744582776,0.3111346429540559,-0.5721729275907348,-0.6843987733676864,2.380500316619873,1.1160452365875244,-2.1641554832458496,-0.2138776183128357,0.2656189799308777,0.1374687254428863,0.1476564258337021,-0.0786012932658195,0.2477005031049251,-0.0049399435520172,-0.0881798762995749,0.6234925485938787,2
1733407633958563800,-0.3023001448312774,-10.64151676982045,0.8960138969615101,-0.6037554728688672,9.437531440925598,2.59592922437638,-2.384237289428711,-0.806097149848938,-0.2679310142993927,0.3286114345962894,0.2853020402908108,-0.5350207406225417,-0.7241339589830924,1.614511013031006,0.7597251534461975,-1.5710787773132324,0.2594718337059021,0.0049958825111389,0.228786438703537,0.1008414030075073,0.0283147618174552,-0.2619260123342275,0.1377727836370468,-0.1871065528672188,0.3629831250593066,3
1733407633998563800,-0.0517270088994875,-13.79336284390688,0.7644429880291224,-0.5774991879755631,9.251113966301084,3.2021506124347447,-0.9096553325653076,0.3832893669605255,0.1985202878713607,0.3346707915602245,0.2709590801324453,-0.513144156197895,-0.742468656816414,1.1541258096694946,0.6222154498100281,-1.0162259340286257,0.8089941740036011,-0.243081659078598,0.4762185513973236,0.0787916034460067,0.0759914889931678,-0.4329454268187284,0.1176611706614494,-0.1455586638830602,0.0663651540502905,4
1733407634038563800,0.4763226866545155,-14.605913737022876,-1.2342729151308536,-0.5279476599516347,9.193820884239672,3.371247534424066,-0.011886179447174,-0.1331168711185455,0.2695063650608063,0.3440768398803724,0.2698579188149263,-0.5052632097713615,-0.7439737490678167,0.7645216584205627,0.3731384575366974,-0.0054052984341979,1.2296311855316162,-0.4445708096027374,0.6296073198318481,0.0567418038845062,0.123668223619461,-0.6037000528872013,0.097549557685852,-0.1041001336827874,-0.2303942712560296,5
1733407634078563800,0.2221579194389283,-11.3467716558218,-0.3636465574041009,-0.3922956191854551,9.266808963561058,3.184764008826017,1.0457249879837036,-0.4757319390773773,0.1115330606698989,0.3397785961232674,0.2646967187049839,-0.5172599697082538,-0.7395459096878569,-0.982751965522766,-0.018587177619338,1.0277833938598633,1.1461238861083984,-0.7925943732261658,0.4654808342456817,0.1174689754843711,0.1354172676801681,-0.7578612715512514,-0.1218302398920059,-0.1908968850608915,-0.2268053068533539,6
1733407634118563800,-1.499765095514059,-4.8574400316596025,0.6699862964823842,-0.3457153255246579,9.44383200237453,2.6200956973835825,1.947166323661804,-0.1334368288516998,0.0540545843541622,0.3277282288053781,0.2692407885518817,-0.542145459864632,-0.7253839542050776,-2.0029184818267822,-0.2152641266584396,1.5724378824234009,0.862834632396698,-0.5885605216026306,0.647578775882721,0.0554619655013084,0.1196778789162635,-0.6078355452567339,-0.0017697289586067,-0.3978593542598188,0.4072068821892142,7
1733407634158563800,0.6884057502701878,2.10273858769238,0.8341589138120412,-0.2145035139619372,9.633338675186035,1.822956454541534,2.134538412094116,0.7945001125335693,0.5629713535308838,0.3272395148295441,0.2839240911334729,-0.5713512061275515,-0.697036050753692,-2.199072360992432,-0.7740901708602905,1.612126350402832,0.2814756035804748,-0.0715966820716857,0.2505303621292114,0.1168347597122192,0.1747634708881378,0.4729898524373769,0.5022571682929993,-0.1518708427045494,1.0757226677276193,8
1733407634198563800,0.593640029306896,5.802748705404997,-0.8121475730121135,-0.0667661634660791,9.753576581460235,1.0167016658950596,1.987823247909546,0.1238128691911697,0.3411923944950104,0.3260849106974647,0.2979721731790768,-0.5994791295416407,-0.6674624118964915,-1.5747720003128052,-1.0226242542266846,1.486851930618286,-0.2763667106628418,0.2158055305480957,-0.0309891104698181,0.093116708099842,-0.0068963915109634,0.3449742978990078,0.4299348294734955,-0.1958823453232646,0.2199286990821361,9
